feedback_text,occurred_at,source,external_ref,rating,platform,source_url
打了10来局？？怎么升级助理一直打蜀道吐了，还有你游真墨迹,2026-07-25T22:25:44+08:00,taptap_review,moment:830206876510587891,2,TapTap,https://www.taptap.cn/review/49762303
爆率非常的牛逼啊,2026-07-25T22:40:53+08:00,taptap_review,moment:830210689200033074,4,TapTap,https://www.taptap.cn/review/49762487
